Designator,Mid X,Mid Y,Rotation,Layer
+SPEAKERL1,110.363,-59.944,0.0,top
+SPEAKERR1,120.523,-64.135,0.0,top
-SPEAKERL1,114.173,-56.388,0.0,top
-SPEAKERR1,123.063,-58.674,0.0,top
BAT+1,148.209,-132.461,135.0,top
BAT-1,148.844,-145.542,135.0,top
C1,160.655,-135.509,135.0,top
C10,107.237,-124.587,180.0,top
C11,106.221,-119.507,0.0,top
C12,105.476,-98.349,180.0,top
C13,105.283,-105.539,90.0,top
C14,110.49,-105.5535,90.0,top
C15,110.556,-98.2365,0.0,top
C16,105.41,-94.041,90.0,top
C17,110.617,-94.088,90.0,top
C18,106.426,-77.658,270.0,top
C19,102.489,-72.898,0.0,top
C2,157.292,-124.714,180.0,top
C20,102.362,-76.393,90.0,top
C21,104.14,-69.535,270.0,top
C22,115.062,-69.088,270.0,top
C23,110.276,-65.834,0.0,top
C24,106.593,-65.834,180.0,top
C25,112.583,-76.835,180.0,top
C3,160.147,-131.699,45.0,top
C4,152.654,-126.365,315.0,top
C5,150.749,-128.27,315.0,top
C6,105.586,-116.586,0.0,top
C7,121.412,-122.174,0.0,top
C8,106.299,-121.666,180.0,top
C9,117.983,-119.126,90.0,top
IC1,155.2991,-133.8901,45.0,top
IC2,109.601,-71.628,0.0,top
IC3,112.776,-119.888,180.0,top
IC4,119.3138,-132.6232,0.0,top
J2,135.761,-149.098,0.0,top
L1,157.6177,-128.0053,45.0,top
R1,159.131,-129.413,225.0,top
R10,106.807,-101.27,270.0,top
R11,109.22,-101.2845,270.0,top
R12,111.76,-101.2845,90.0,top
R13,105.41,-90.4475,90.0,top
R14,105.41,-86.8915,90.0,top
R15,110.617,-90.4475,90.0,top
R16,110.617,-86.8915,90.0,top
R17,97.155,-94.234,0.0,top
R18,98.806,-106.934,90.0,top
R19,99.949,-118.491,110.0,top
R2,162.941,-127.762,135.0,top
R20,99.06,-84.201,270.0,top
R3,150.3578,-136.1542,225.0,top
R4,152.7708,-138.5672,225.0,top
R5,156.5808,-139.6898,315.0,top
R6,159.004,-137.16,315.0,top
R7,121.285,-118.618,315.0,top
R8,108.712,-127.254,180.0,top
R9,104.206,-101.27,90.0,top
S1,96.9404,-89.5089,265.0,top
S2,96.7221,-101.402,275.0,top
S3,98.566,-113.1411,285.0,top
U1,136.2911,-138.36955,0.0,bottom
